Date,Price,Open,High,Low,Vol.,Change %,SentimentSum
2022-11-08,292.61,291.11,294.74,289.01,3.56M,0.83%,0
2022-11-07,290.19,290.92,292.10,288.65,3.52M,0.95%,0
2022-11-04,287.47,286.77,289.20,282.38,3.71M,1.28%,0
2022-11-03,283.85,286.02,287.47,283.46,3.13M,-1.94%,0
2022-11-02,289.46,293.04,298.26,289.42,4.27M,-1.59%,0
2022-11-01,294.13,298.45,298.87,293.04,3.84M,-0.33%,0
2022-10-31,295.09,297.98,298.89,294.85,4.63M,-1.52%,0
2022-10-28,299.63,292.77,299.98,291.48,4.63M,3.36%,0
2022-10-27,289.88,290.31,294.00,288.85,4.28M,0.47%,0
2022-10-26,288.52,289.75,291.80,287.68,3.30M,-0.25%,0
2022-10-25,289.24,288.77,289.87,286.88,3.18M,0.61%,0
2022-10-24,287.48,284.10,289.34,283.99,3.86M,1.76%,0
2022-10-21,282.51,273.76,282.92,271.46,5.00M,3.28%,0
2022-10-20,273.53,278.07,279.44,273.00,3.92M,-1.73%,0
2022-10-19,278.34,280.33,282.38,276.97,3.22M,-1.18%,0
2022-10-18,281.67,282.74,283.36,279.25,4.29M,1.68%,0
2022-10-17,277.02,276.48,278.59,275.30,4.46M,1.60%,0
2022-10-14,272.67,277.59,279.22,271.97,4.29M,-1.13%,0
2022-10-13,275.78,260.58,276.78,259.85,5.49M,4.46%,0
2022-10-12,264.00,267.31,267.52,263.96,3.35M,-1.24%,0
2022-10-11,267.31,266.10,270.97,265.61,3.44M,0.14%,0
2022-10-10,266.93,269.89,270.21,265.86,3.11M,-0.78%,0
2022-10-07,269.04,274.44,274.49,267.48,4.27M,-2.63%,0
2022-10-06,276.31,278.20,279.85,275.90,3.40M,-1.09%,0
2022-10-05,279.36,276.87,280.88,275.84,3.35M,-0.40%,0
2022-10-04,280.49,277.42,281.30,276.60,4.64M,2.82%,0
2022-10-03,272.80,269.52,274.57,267.16,4.90M,2.16%,0
2022-09-30,267.02,269.21,272.94,266.60,6.06M,-0.95%,0.0
2022-09-29,269.58,269.89,272.17,265.59,5.21M,-0.81%,0
2022-09-28,271.78,265.65,273.60,264.91,5.94M,2.38%,0
2022-09-27,265.47,266.99,267.93,261.55,5.77M,0.44%,0
2022-09-26,264.32,265.82,267.84,263.37,4.93M,-1.29%,0
2022-09-23,267.77,266.01,268.14,264.24,5.18M,-0.28%,0
2022-09-22,268.51,271.03,271.50,268.27,4.12M,-0.82%,0
2022-09-21,270.74,278.90,278.92,270.72,3.96M,-2.31%,0
2022-09-20,277.13,277.17,278.04,274.61,3.28M,-0.65%,0
2022-09-19,278.95,272.79,279.13,272.72,3.29M,1.51%,0
2022-09-16,274.81,275.35,276.38,273.26,7.29M,-0.68%,0
